filename,labels
102 - killing joke - love like blood-13.txt,"['gel', 'org', 'voi']"
102 - killing joke - love like blood-15.txt,"['gel', 'pia']"
102 - killing joke - love like blood-17.txt,"['gel', 'org', 'voi']"
102 - killing joke - love like blood-19.txt,"['gel', 'org']"
102 - killing joke - love like blood-2.txt,"['gel', 'org']"
102 - killing joke - love like blood-20.txt,"['gel', 'org']"
102 - killing joke - love like blood-21.txt,"['gel', 'org']"
102 - killing joke - love like blood-22.txt,"['gel', 'org']"
102 - killing joke - love like blood-24.txt,['org']
102 - killing joke - love like blood-25.txt,['org']
102 - killing joke - love like blood-26.txt,"['gel', 'org']"
102 - killing joke - love like blood-3.txt,"['gel', 'org', 'voi']"
102 - killing joke - love like blood-5.txt,"['gel', 'org']"
102 - killing joke - love like blood-6.txt,"['gel', 'org', 'voi']"
102 - killing joke - love like blood-8.txt,"['gel', 'org']"
102 - killing joke - love like blood-9.txt,"['gel', 'org', 'voi']"
103 - love spirals downwards - will you fade-1.txt,['org']
103 - love spirals downwards - will you fade-11.txt,"['gel', 'org']"
103 - love spirals downwards - will you fade-12.txt,"['org', 'voi']"
103 - love spirals downwards - will you fade-14.txt,"['org', 'voi']"
103 - love spirals downwards - will you fade-16.txt,['org']
103 - love spirals downwards - will you fade-17.txt,"['org', 'voi']"
103 - love spirals downwards - will you fade-18.txt,['org']
103 - love spirals downwards - will you fade-2.txt,"['gel', 'org']"
103 - love spirals downwards - will you fade-4.txt,"['gel', 'org', 'voi']"
103 - love spirals downwards - will you fade-5.txt,"['gel', 'org', 'voi']"
103 - love spirals downwards - will you fade-7.txt,"['gel', 'org']"
103 - love spirals downwards - will you fade-8.txt,"['gel', 'org', 'voi']"
103 - love spirals downwards - will you fade-9.txt,"['gel', 'org', 'voi']"
105-new_order-blue_monday-uf-11.txt,"['gel', 'voi']"
105-new_order-blue_monday-uf-15.txt,['voi']
105-new_order-blue_monday-uf-16.txt,"['gel', 'voi']"
105-new_order-blue_monday-uf-17.txt,['voi']
105-new_order-blue_monday-uf-18.txt,['gel']
105-new_order-blue_monday-uf-19.txt,['voi']
105-new_order-blue_monday-uf-20.txt,['gel']
105-new_order-blue_monday-uf-27.txt,['gel']
105-new_order-blue_monday-uf-28.txt,['gel']
105-new_order-blue_monday-uf-29.txt,['gel']
105-new_order-blue_monday-uf-30.txt,['gel']
105-new_order-blue_monday-uf-6.txt,['gel']
105-new_order-blue_monday-uf-9.txt,"['gel', 'org', 'voi']"
109-jimmy_mcgriff-jumpin_the_blues-1.txt,"['gel', 'org']"
109-jimmy_mcgriff-jumpin_the_blues-10.txt,"['gel', 'org']"
109-jimmy_mcgriff-jumpin_the_blues-11.txt,"['gel', 'org']"
109-jimmy_mcgriff-jumpin_the_blues-12.txt,"['gel', 'org']"
109-jimmy_mcgriff-jumpin_the_blues-13.txt,"['gel', 'org']"
109-jimmy_mcgriff-jumpin_the_blues-14.txt,"['gel', 'org']"
109-jimmy_mcgriff-jumpin_the_blues-2.txt,"['gel', 'org']"
109-jimmy_mcgriff-jumpin_the_blues-4.txt,"['gel', 'org', 'sax']"
109-jimmy_mcgriff-jumpin_the_blues-6.txt,"['gel', 'org']"
109-jimmy_mcgriff-jumpin_the_blues-7.txt,"['gel', 'org']"
109-jimmy_mcgriff-jumpin_the_blues-8.txt,"['gel', 'org']"
109-jimmy_mcgriff-jumpin_the_blues-9.txt,"['gel', 'org']"
15_more than a feeling - boston-1.txt,['gac']
15_more than a feeling - boston-10.txt,['voi']
15_more than a feeling - boston-11.txt,['voi']
15_more than a feeling - boston-12.txt,['gel']
15_more than a feeling - boston-14.txt,"['gac', 'gel']"
15_more than a feeling - boston-15.txt,"['gac', 'voi']"
15_more than a feeling - boston-16.txt,['voi']
15_more than a feeling - boston-17.txt,['gel']
15_more than a feeling - boston-18.txt,['gel']
15_more than a feeling - boston-19.txt,['voi']
15_more than a feeling - boston-2.txt,['gac']
15_more than a feeling - boston-3.txt,"['gac', 'voi']"
15_more than a feeling - boston-4.txt,['gel']
15_more than a feeling - boston-5.txt,['voi']
15_more than a feeling - boston-6.txt,['voi']
15_more than a feeling - boston-7.txt,['gac']
15_more than a feeling - boston-8.txt,"['gac', 'voi']"
15_more than a feeling - boston-9.txt,['gel']
17 - Sur le fil-1.txt,['pia']
17 - Sur le fil-10.txt,['pia']
17 - Sur le fil-11.txt,['pia']
17 - Sur le fil-12.txt,['pia']
17 - Sur le fil-2.txt,['pia']
17 - Sur le fil-3.txt,['pia']
17 - Sur le fil-4.txt,['pia']
17 - Sur le fil-5.txt,['pia']
17 - Sur le fil-6.txt,['pia']
17 - Sur le fil-7.txt,['pia']
17 - Sur le fil-8.txt,['pia']
17 - Sur le fil-9.txt,['pia']
1968 - saucerfull - 03 - set the controls for the heart of the sun-11.txt,['org']
1968 - saucerfull - 03 - set the controls for the heart of the sun-12.txt,"['org', 'voi']"
1968 - saucerfull - 03 - set the controls for the heart of the sun-13.txt,"['org', 'voi']"
1968 - saucerfull - 03 - set the controls for the heart of the sun-15.txt,['org']
1968 - saucerfull - 03 - set the controls for the heart of the sun-16.txt,['org']
1968 - saucerfull - 03 - set the controls for the heart of the sun-17.txt,['org']
1968 - saucerfull - 03 - set the controls for the heart of the sun-18.txt,['org']
1968 - saucerfull - 03 - set the controls for the heart of the sun-19.txt,"['org', 'voi']"
1968 - saucerfull - 03 - set the controls for the heart of the sun-21.txt,['org']
1968 - saucerfull - 03 - set the controls for the heart of the sun-22.txt,"['org', 'voi']"
1968 - saucerfull - 03 - set the controls for the heart of the sun-23.txt,"['org', 'voi']"
1968 - saucerfull - 03 - set the controls for the heart of the sun-26.txt,['org']
1968 - saucerfull - 03 - set the controls for the heart of the sun-3.txt,['org']
1968 - saucerfull - 03 - set the controls for the heart of the sun-5.txt,"['org', 'voi']"
1968 - saucerfull - 03 - set the controls for the heart of the sun-7.txt,"['org', 'voi']"
1968 - saucerfull - 03 - set the controls for the heart of the sun-8.txt,['org']
1968 - saucerfull - 03 - set the controls for the heart of the sun-9.txt,"['org', 'voi']"
1992 - Blind Guardian - Somewhere Far Beyond - The Bard's Song (In The Forest)-1.txt,['gac']
1992 - Blind Guardian - Somewhere Far Beyond - The Bard's Song (In The Forest)-10.txt,"['gac', 'voi']"
1992 - Blind Guardian - Somewhere Far Beyond - The Bard's Song (In The Forest)-12.txt,"['cel', 'gac', 'voi']"
1992 - Blind Guardian - Somewhere Far Beyond - The Bard's Song (In The Forest)-2.txt,['gac']
1992 - Blind Guardian - Somewhere Far Beyond - The Bard's Song (In The Forest)-3.txt,"['gac', 'voi']"
1992 - Blind Guardian - Somewhere Far Beyond - The Bard's Song (In The Forest)-4.txt,"['gac', 'voi']"
1992 - Blind Guardian - Somewhere Far Beyond - The Bard's Song (In The Forest)-5.txt,"['gac', 'voi']"
1992 - Blind Guardian - Somewhere Far Beyond - The Bard's Song (In The Forest)-7.txt,['gac']
1992 - Blind Guardian - Somewhere Far Beyond - The Bard's Song (In The Forest)-9.txt,"['gac', 'voi']"
1998 - Blind Guardian - Nightfall In Middle-Earth -  Mirror Mirror-1.txt,['gel']
1998 - Blind Guardian - Nightfall In Middle-Earth -  Mirror Mirror-10.txt,"['gel', 'voi']"
1998 - Blind Guardian - Nightfall In Middle-Earth -  Mirror Mirror-12.txt,['gel']
1998 - Blind Guardian - Nightfall In Middle-Earth -  Mirror Mirror-13.txt,['gel']
1998 - Blind Guardian - Nightfall In Middle-Earth -  Mirror Mirror-15.txt,"['gel', 'voi']"
1998 - Blind Guardian - Nightfall In Middle-Earth -  Mirror Mirror-16.txt,"['gel', 'voi']"
1998 - Blind Guardian - Nightfall In Middle-Earth -  Mirror Mirror-18.txt,['gel']
1998 - Blind Guardian - Nightfall In Middle-Earth -  Mirror Mirror-3.txt,"['gel', 'voi']"
1998 - Blind Guardian - Nightfall In Middle-Earth -  Mirror Mirror-4.txt,"['gel', 'voi']"
1998 - Blind Guardian - Nightfall In Middle-Earth -  Mirror Mirror-6.txt,['gel']
1998 - Blind Guardian - Nightfall In Middle-Earth -  Mirror Mirror-7.txt,"['gel', 'voi']"
1998 - Blind Guardian - Nightfall In Middle-Earth -  Mirror Mirror-9.txt,"['gel', 'voi']"
1998 - HammerFall - Legacy of kings -  Heeding the call-10.txt,['gel']
1998 - HammerFall - Legacy of kings -  Heeding the call-11.txt,['gel']
1998 - HammerFall - Legacy of kings -  Heeding the call-13.txt,"['gel', 'voi']"
1998 - HammerFall - Legacy of kings -  Heeding the call-15.txt,['gel']
1998 - HammerFall - Legacy of kings -  Heeding the call-17.txt,['voi']
1998 - HammerFall - Legacy of kings -  Heeding the call-18.txt,"['gel', 'voi']"
1998 - HammerFall - Legacy of kings -  Heeding the call-19.txt,"['gel', 'voi']"
1998 - HammerFall - Legacy of kings -  Heeding the call-2.txt,['gel']
1998 - HammerFall - Legacy of kings -  Heeding the call-20.txt,['gel']
1998 - HammerFall - Legacy of kings -  Heeding the call-3.txt,"['gel', 'voi']"
1998 - HammerFall - Legacy of kings -  Heeding the call-4.txt,"['gel', 'voi']"
1998 - HammerFall - Legacy of kings -  Heeding the call-6.txt,['gel']
1998 - HammerFall - Legacy of kings -  Heeding the call-7.txt,"['gel', 'voi']"
1998 - HammerFall - Legacy of kings -  Heeding the call-8.txt,"['gel', 'voi']"
2004 - Saratoga - El clan de la lucha - Si Amaneciera-1.txt,['gac']
2004 - Saratoga - El clan de la lucha - Si Amaneciera-11.txt,"['gac', 'voi']"
2004 - Saratoga - El clan de la lucha - Si Amaneciera-12.txt,"['gel', 'voi']"
2004 - Saratoga - El clan de la lucha - Si Amaneciera-14.txt,['gel']
2004 - Saratoga - El clan de la lucha - Si Amaneciera-16.txt,"['gel', 'voi']"
2004 - Saratoga - El clan de la lucha - Si Amaneciera-17.txt,"['gel', 'voi']"
2004 - Saratoga - El clan de la lucha - Si Amaneciera-18.txt,"['gel', 'voi']"
2004 - Saratoga - El clan de la lucha - Si Amaneciera-20.txt,['gac']
2004 - Saratoga - El clan de la lucha - Si Amaneciera-3.txt,"['gac', 'voi']"
2004 - Saratoga - El clan de la lucha - Si Amaneciera-4.txt,"['gac', 'voi']"
2004 - Saratoga - El clan de la lucha - Si Amaneciera-6.txt,"['gac', 'voi']"
2004 - Saratoga - El clan de la lucha - Si Amaneciera-8.txt,['gac']
2004 - Saratoga - El clan de la lucha - Si Amaneciera-9.txt,"['gac', 'voi']"
2004 - Tierra Santa - Apocalipsis - Neron-10.txt,"['gel', 'voi']"
2004 - Tierra Santa - Apocalipsis - Neron-12.txt,['gel']
2004 - Tierra Santa - Apocalipsis - Neron-13.txt,['gel']
2004 - Tierra Santa - Apocalipsis - Neron-15.txt,"['gel', 'voi']"
2004 - Tierra Santa - Apocalipsis - Neron-16.txt,"['gel', 'voi']"
2004 - Tierra Santa - Apocalipsis - Neron-18.txt,['gel']
2004 - Tierra Santa - Apocalipsis - Neron-20.txt,['gel']
2004 - Tierra Santa - Apocalipsis - Neron-5.txt,['gel']
2004 - Tierra Santa - Apocalipsis - Neron-6.txt,['gel']
2004 - Tierra Santa - Apocalipsis - Neron-8.txt,"['gel', 'voi']"
2004 - Tierra Santa - Apocalipsis - Neron-9.txt,"['gel', 'voi']"
207-Dave Douglas-The Jones-1.txt,['tru']
207-Dave Douglas-The Jones-11.txt,"['org', 'sax']"
207-Dave Douglas-The Jones-12.txt,"['org', 'sax']"
207-Dave Douglas-The Jones-14.txt,"['org', 'sax', 'tru']"
207-Dave Douglas-The Jones-16.txt,"['org', 'sax']"
207-Dave Douglas-The Jones-17.txt,"['org', 'sax', 'tru']"
207-Dave Douglas-The Jones-19.txt,"['sax', 'tru']"
207-Dave Douglas-The Jones-2.txt,"['org', 'tru']"
207-Dave Douglas-The Jones-3.txt,"['org', 'sax', 'tru']"
207-Dave Douglas-The Jones-4.txt,"['org', 'tru']"
207-Dave Douglas-The Jones-5.txt,"['org', 'sax', 'tru']"
207-Dave Douglas-The Jones-6.txt,"['org', 'sax']"
207-Dave Douglas-The Jones-7.txt,"['org', 'sax', 'tru']"
207-Dave Douglas-The Jones-8.txt,['org']
207-Dave Douglas-The Jones-9.txt,['org']
21 La Lluna La Pruna _ Plou I Fa Sol _ Sol Solet-10.txt,['voi']
21 La Lluna La Pruna _ Plou I Fa Sol _ Sol Solet-11.txt,['voi']
21 La Lluna La Pruna _ Plou I Fa Sol _ Sol Solet-2.txt,['voi']
21 La Lluna La Pruna _ Plou I Fa Sol _ Sol Solet-4.txt,['voi']
21 La Lluna La Pruna _ Plou I Fa Sol _ Sol Solet-5.txt,['gel']
21 La Lluna La Pruna _ Plou I Fa Sol _ Sol Solet-6.txt,"['gel', 'voi']"
21 La Lluna La Pruna _ Plou I Fa Sol _ Sol Solet-7.txt,['gel']
21 La Lluna La Pruna _ Plou I Fa Sol _ Sol Solet-8.txt,"['gel', 'voi']"
210_depeche_mode-world_in_my_eyes-srm-10.txt,['voi']
210_depeche_mode-world_in_my_eyes-srm-11.txt,['voi']
210_depeche_mode-world_in_my_eyes-srm-13.txt,['voi']
210_depeche_mode-world_in_my_eyes-srm-15.txt,['voi']
210_depeche_mode-world_in_my_eyes-srm-3.txt,['voi']
210_depeche_mode-world_in_my_eyes-srm-4.txt,['voi']
210_depeche_mode-world_in_my_eyes-srm-6.txt,['voi']
210_depeche_mode-world_in_my_eyes-srm-7.txt,['voi']
210_depeche_mode-world_in_my_eyes-srm-8.txt,['voi']
25 - Stuck On You-1.txt,"['pia', 'voi']"
25 - Stuck On You-3.txt,"['pia', 'voi']"
25 - Stuck On You-4.txt,"['pia', 'voi']"
25 - Stuck On You-5.txt,"['pia', 'voi']"
25 - Stuck On You-6.txt,"['pia', 'voi']"
25 - Stuck On You-7.txt,"['pia', 'voi']"
30 - Norbert Kraft - Julia Florida - S04E12-1.txt,['gac']
30 - Norbert Kraft - Julia Florida - S04E12-10.txt,['gac']
30 - Norbert Kraft - Julia Florida - S04E12-11.txt,['gac']
30 - Norbert Kraft - Julia Florida - S04E12-12.txt,['gac']
30 - Norbert Kraft - Julia Florida - S04E12-2.txt,['gac']
30 - Norbert Kraft - Julia Florida - S04E12-3.txt,['gac']
30 - Norbert Kraft - Julia Florida - S04E12-4.txt,['gac']
30 - Norbert Kraft - Julia Florida - S04E12-5.txt,['gac']
30 - Norbert Kraft - Julia Florida - S04E12-6.txt,['gac']
30 - Norbert Kraft - Julia Florida - S04E12-7.txt,['gac']
30 - Norbert Kraft - Julia Florida - S04E12-8.txt,['gac']
30 - Norbert Kraft - Julia Florida - S04E12-9.txt,['gac']
AC DC (Back In Black) -01- Hells Bells-10.txt,['gel']
AC DC (Back In Black) -01- Hells Bells-11.txt,"['gel', 'voi']"
AC DC (Back In Black) -01- Hells Bells-12.txt,"['gel', 'voi']"
AC DC (Back In Black) -01- Hells Bells-14.txt,['gel']
AC DC (Back In Black) -01- Hells Bells-15.txt,['gel']
AC DC (Back In Black) -01- Hells Bells-17.txt,"['gel', 'voi']"
AC DC (Back In Black) -01- Hells Bells-18.txt,"['gel', 'voi']"
AC DC (Back In Black) -01- Hells Bells-19.txt,"['gel', 'voi']"
AC DC (Back In Black) -01- Hells Bells-2.txt,['gel']
AC DC (Back In Black) -01- Hells Bells-3.txt,['gel']
AC DC (Back In Black) -01- Hells Bells-4.txt,['gel']
AC DC (Back In Black) -01- Hells Bells-6.txt,['gel']
AC DC (Back In Black) -01- Hells Bells-7.txt,"['gel', 'voi']"
AC DC (Back In Black) -01- Hells Bells-8.txt,"['gel', 'voi']"
agw_-_03_-_st. elmo's fire-1.txt,['pia']
agw_-_03_-_st. elmo's fire-10.txt,"['gac', 'gel', 'org', 'pia']"
agw_-_03_-_st. elmo's fire-11.txt,"['gac', 'gel', 'org', 'pia']"
agw_-_03_-_st. elmo's fire-12.txt,"['gac', 'gel', 'org', 'pia', 'voi']"
agw_-_03_-_st. elmo's fire-14.txt,"['gac', 'gel', 'org', 'pia']"
agw_-_03_-_st. elmo's fire-2.txt,"['gac', 'pia']"
agw_-_03_-_st. elmo's fire-3.txt,"['gac', 'pia', 'voi']"
agw_-_03_-_st. elmo's fire-4.txt,"['gac', 'org', 'pia', 'voi']"
agw_-_03_-_st. elmo's fire-5.txt,"['gac', 'pia', 'voi']"
agw_-_03_-_st. elmo's fire-6.txt,"['gac', 'org', 'pia', 'voi']"
agw_-_03_-_st. elmo's fire-7.txt,"['gac', 'pia', 'voi']"
agw_-_03_-_st. elmo's fire-8.txt,"['gac', 'gel', 'org', 'pia']"
agw_-_03_-_st. elmo's fire-9.txt,"['gac', 'gel', 'org', 'pia', 'voi']"
Air France - June Evenings-1.txt,['voi']
Air France - June Evenings-10.txt,"['tru', 'voi']"
Air France - June Evenings-11.txt,['flu']
Air France - June Evenings-12.txt,['voi']
Air France - June Evenings-14.txt,['gel']
Air France - June Evenings-16.txt,['gel']
Air France - June Evenings-17.txt,['gel']
Air France - June Evenings-18.txt,['gel']
Air France - June Evenings-20.txt,['gel']
Air France - June Evenings-3.txt,['flu']
Air France - June Evenings-4.txt,['tru']
Air France - June Evenings-5.txt,"['tru', 'voi']"
Air France - June Evenings-6.txt,['voi']
Air France - June Evenings-9.txt,['tru']
Alice in Chains - Head Creeps-1.txt,['gel']
Alice in Chains - Head Creeps-10.txt,"['gel', 'voi']"
Alice in Chains - Head Creeps-11.txt,"['gel', 'voi']"
Alice in Chains - Head Creeps-12.txt,"['gel', 'voi']"
Alice in Chains - Head Creeps-13.txt,"['gel', 'voi']"
Alice in Chains - Head Creeps-14.txt,"['gel', 'voi']"
Alice in Chains - Head Creeps-15.txt,"['gel', 'voi']"
Alice in Chains - Head Creeps-16.txt,"['gel', 'voi']"
Alice in Chains - Head Creeps-17.txt,"['gel', 'voi']"
Alice in Chains - Head Creeps-19.txt,['gel']
Alice in Chains - Head Creeps-2.txt,"['gel', 'voi']"
Alice in Chains - Head Creeps-20.txt,['gel']
Alice in Chains - Head Creeps-3.txt,"['gel', 'voi']"
Alice in Chains - Head Creeps-4.txt,"['gel', 'voi']"
Alice in Chains - Head Creeps-5.txt,"['gel', 'voi']"
Alice in Chains - Head Creeps-6.txt,"['gel', 'voi']"
Alice in Chains - Head Creeps-7.txt,"['gel', 'voi']"
Alice in Chains - Head Creeps-8.txt,"['gel', 'voi']"
Alice in Chains - Head Creeps-9.txt,"['gel', 'voi']"
Anathema - 02 - Release-1.txt,['gac']
Anathema - 02 - Release-10.txt,"['gac', 'gel']"
Anathema - 02 - Release-12.txt,"['gac', 'gel', 'voi']"
Anathema - 02 - Release-13.txt,"['gac', 'gel', 'voi']"
Anathema - 02 - Release-14.txt,"['gac', 'gel', 'voi']"
Anathema - 02 - Release-16.txt,"['gac', 'gel']"
Anathema - 02 - Release-18.txt,['gac']
Anathema - 02 - Release-19.txt,['gac']
Anathema - 02 - Release-2.txt,['gac']
Anathema - 02 - Release-3.txt,"['gac', 'voi']"
Anathema - 02 - Release-5.txt,"['gac', 'voi']"
Anathema - 02 - Release-7.txt,['gac']
Anathema - 02 - Release-8.txt,"['gac', 'voi']"
artificial intelligence - 08 -- autechre - the egg-5.txt,['voi']
artificial intelligence - 08 -- autechre - the egg-8.txt,['voi']
arvo p_rt - alina - 01 - spiegel im spiegel-1.txt,['pia']
arvo p_rt - alina - 01 - spiegel im spiegel-10.txt,"['pia', 'vio']"
arvo p_rt - alina - 01 - spiegel im spiegel-11.txt,"['pia', 'vio']"
arvo p_rt - alina - 01 - spiegel im spiegel-12.txt,"['pia', 'vio']"
arvo p_rt - alina - 01 - spiegel im spiegel-13.txt,"['pia', 'vio']"
arvo p_rt - alina - 01 - spiegel im spiegel-14.txt,"['pia', 'vio']"
arvo p_rt - alina - 01 - spiegel im spiegel-15.txt,"['pia', 'vio']"
arvo p_rt - alina - 01 - spiegel im spiegel-16.txt,"['pia', 'vio']"
arvo p_rt - alina - 01 - spiegel im spiegel-17.txt,"['pia', 'vio']"
arvo p_rt - alina - 01 - spiegel im spiegel-18.txt,"['pia', 'vio']"
arvo p_rt - alina - 01 - spiegel im spiegel-19.txt,"['pia', 'vio']"
arvo p_rt - alina - 01 - spiegel im spiegel-2.txt,"['pia', 'vio']"
arvo p_rt - alina - 01 - spiegel im spiegel-20.txt,"['pia', 'vio']"
arvo p_rt - alina - 01 - spiegel im spiegel-21.txt,"['pia', 'vio']"
arvo p_rt - alina - 01 - spiegel im spiegel-22.txt,"['pia', 'vio']"
arvo p_rt - alina - 01 - spiegel im spiegel-23.txt,"['pia', 'vio']"
arvo p_rt - alina - 01 - spiegel im spiegel-24.txt,"['pia', 'vio']"
arvo p_rt - alina - 01 - spiegel im spiegel-25.txt,"['pia', 'vio']"
arvo p_rt - alina - 01 - spiegel im spiegel-26.txt,"['pia', 'vio']"
arvo p_rt - alina - 01 - spiegel im spiegel-27.txt,"['pia', 'vio']"
arvo p_rt - alina - 01 - spiegel im spiegel-28.txt,"['pia', 'vio']"
arvo p_rt - alina - 01 - spiegel im spiegel-29.txt,"['pia', 'vio']"
arvo p_rt - alina - 01 - spiegel im spiegel-3.txt,"['pia', 'vio']"
arvo p_rt - alina - 01 - spiegel im spiegel-30.txt,"['pia', 'vio']"
arvo p_rt - alina - 01 - spiegel im spiegel-31.txt,"['pia', 'vio']"
arvo p_rt - alina - 01 - spiegel im spiegel-4.txt,"['pia', 'vio']"
arvo p_rt - alina - 01 - spiegel im spiegel-5.txt,"['pia', 'vio']"
arvo p_rt - alina - 01 - spiegel im spiegel-6.txt,"['pia', 'vio']"
arvo p_rt - alina - 01 - spiegel im spiegel-7.txt,"['pia', 'vio']"
arvo p_rt - alina - 01 - spiegel im spiegel-8.txt,"['pia', 'vio']"
arvo p_rt - alina - 01 - spiegel im spiegel-9.txt,"['pia', 'vio']"
At The Drive In - 03 - One Armed Scissor-1.txt,['gel']
At The Drive In - 03 - One Armed Scissor-10.txt,['gel']
At The Drive In - 03 - One Armed Scissor-11.txt,"['gel', 'voi']"
At The Drive In - 03 - One Armed Scissor-13.txt,['gel']
At The Drive In - 03 - One Armed Scissor-14.txt,"['gel', 'voi']"
At The Drive In - 03 - One Armed Scissor-16.txt,"['gel', 'pia']"
At The Drive In - 03 - One Armed Scissor-2.txt,"['gel', 'voi']"
At The Drive In - 03 - One Armed Scissor-4.txt,['gel']
At The Drive In - 03 - One Armed Scissor-5.txt,"['gel', 'voi']"
At The Drive In - 03 - One Armed Scissor-6.txt,"['gel', 'voi']"
At The Drive In - 03 - One Armed Scissor-8.txt,"['gel', 'voi']"
Bachelorette-10.txt,['voi']
Bachelorette-11.txt,['voi']
Bachelorette-12.txt,['voi']
Bachelorette-13.txt,['voi']
Bachelorette-14.txt,['voi']
Bachelorette-15.txt,['voi']
Bachelorette-3.txt,['voi']
Bachelorette-4.txt,['voi']
Bachelorette-5.txt,['voi']
Bachelorette-6.txt,['voi']
Bachelorette-9.txt,['voi']
Bobby Sox Blues-1.txt,['gel']
Bobby Sox Blues-11.txt,"['pia', 'sax', 'tru', 'voi']"
Bobby Sox Blues-12.txt,"['pia', 'sax', 'voi']"
Bobby Sox Blues-13.txt,"['gel', 'pia', 'sax', 'voi']"
Bobby Sox Blues-14.txt,"['gel', 'pia', 'sax']"
Bobby Sox Blues-2.txt,"['gel', 'pia']"
Bobby Sox Blues-4.txt,"['gel', 'pia', 'sax', 'voi']"
Bobby Sox Blues-5.txt,"['gel', 'pia', 'sax']"
Bobby Sox Blues-6.txt,"['gel', 'pia', 'sax', 'voi']"
Bobby Sox Blues-7.txt,"['pia', 'sax', 'voi']"
Bobby Sox Blues-8.txt,"['pia', 'sax', 'voi']"
Bobby Sox Blues-9.txt,"['gel', 'pia', 'sax', 'voi']"
brian eno - apollo- atmospheres & soundtracks - 01 - under stars-10.txt,['org']
brian eno - apollo- atmospheres & soundtracks - 01 - under stars-11.txt,"['gel', 'org']"
brian eno - apollo- atmospheres & soundtracks - 01 - under stars-12.txt,"['gel', 'org']"
brian eno - apollo- atmospheres & soundtracks - 01 - under stars-13.txt,['org']
brian eno - apollo- atmospheres & soundtracks - 01 - under stars-14.txt,['org']
brian eno - apollo- atmospheres & soundtracks - 01 - under stars-16.txt,"['gel', 'org']"
brian eno - apollo- atmospheres & soundtracks - 01 - under stars-17.txt,['org']
brian eno - apollo- atmospheres & soundtracks - 01 - under stars-2.txt,['org']
brian eno - apollo- atmospheres & soundtracks - 01 - under stars-3.txt,"['gel', 'org']"
brian eno - apollo- atmospheres & soundtracks - 01 - under stars-4.txt,"['gel', 'org']"
brian eno - apollo- atmospheres & soundtracks - 01 - under stars-5.txt,"['gel', 'org']"
brian eno - apollo- atmospheres & soundtracks - 01 - under stars-6.txt,"['gel', 'org']"
brian eno - apollo- atmospheres & soundtracks - 01 - under stars-7.txt,"['gel', 'org']"
brian eno - apollo- atmospheres & soundtracks - 01 - under stars-9.txt,"['gel', 'org']"
B_B__King_-_The_Ultimate_Collection_-_11_-_The_Thrill_Is_Gone-1.txt,"['gel', 'org']"
B_B__King_-_The_Ultimate_Collection_-_11_-_The_Thrill_Is_Gone-10.txt,"['gel', 'org', 'voi']"
B_B__King_-_The_Ultimate_Collection_-_11_-_The_Thrill_Is_Gone-11.txt,"['gel', 'org', 'voi']"
